time,station,pm25,lat,lon,pm25_3km,tmp,rh,hpbl,wspd,pop,road_den_1km,prim_road_len_1km,near_dist,bareland,builtup,cropland,grassland,treecover,water,ndvi,aod
2018-01-23,201,39.70833333,10.783057,106.700606,23.73999977,25.9369633,88.04034791,363.7378794,1.35843877,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-01-24,201,40.79166667,10.783057,106.700606,24.13999939,25.63961389,88.30474484,357.4741315,1.887522558,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-01-25,201,42.20833333,10.783057,106.700606,20.45999908,25.58382997,84.32227744,445.5208789,2.02987965,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-01-26,201,54.45833333,10.783057,106.700606,20.86000061,25.61897437,83.50919274,340.4659579,1.580968635,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-01-27,201,54.91666667,10.783057,106.700606,23.5,25.96852278,86.28454317,317.5245584,1.995618189,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-01-28,201,35.52173913,10.783057,106.700606,16.01000023,26.12668296,88.62814957,367.7663152,2.306427601,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-01-29,201,35.26086957,10.783057,106.700606,22.61000061,25.93985222,87.89932872,378.148846,2.446236762,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-01-30,201,43.45833333,10.783057,106.700606,37.06000137,25.43465601,84.19341355,357.2568909,2.434305432,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-01-31,201,47.95652174,10.783057,106.700606,27.29000092,25.45158319,85.49172322,454.6508306,2.269087627,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-01,201,40.39130435,10.783057,106.700606,30.71999931,24.43161352,81.65323971,366.8167203,2.296866459,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-02,201,47.45833333,10.783057,106.700606,30.13999939,24.38262714,80.93931454,455.93072,2.04467515,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-03,201,56.66666667,10.783057,106.700606,31.31999969,23.76470298,73.05307683,511.4399481,2.637463657,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.027967453
2018-02-04,201,46.54166667,10.783057,106.700606,35.50999832,24.05384168,68.61287501,430.7754138,2.325582532,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.221915722
2018-02-05,201,57.75,10.783057,106.700606,47.11000061,23.01773037,70.1877872,456.8741471,2.73135166,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.313871861
2018-02-06,201,62.75,10.783057,106.700606,45.41999817,21.15053203,69.61637098,371.0706313,2.792399133,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.739912987
2018-02-07,201,60.75,10.783057,106.700606,42.88999939,21.62559413,73.96164804,443.9243867,2.308642073,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-02-08,201,54.0,10.783057,106.700606,32.06000137,22.26508348,75.45370147,496.7983851,2.678141191,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
